,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
3,2023,SE,FT,Data Scientist,175000,USD,175000,CA,100,CA,M
4,2023,SE,FT,Data Scientist,120000,USD,120000,CA,100,CA,M
7,2023,SE,FT,Data Scientist,219000,USD,219000,CA,0,CA,M
8,2023,SE,FT,Data Scientist,141000,USD,141000,CA,0,CA,M
9,2023,SE,FT,Data Scientist,147100,USD,147100,US,0,US,M
10,2023,SE,FT,Data Scientist,90700,USD,90700,US,0,US,M
17,2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M
18,2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M
46,2023,SE,FT,Data Scientist,212750,USD,212750,US,100,US,M
47,2023,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M
48,2023,SE,FT,Data Scientist,262000,USD,262000,US,100,US,M
49,2023,SE,FT,Data Scientist,245000,USD,245000,US,100,US,M
50,2023,SE,FT,Data Scientist,275300,USD,275300,US,100,US,M
51,2023,SE,FT,Data Scientist,183500,USD,183500,US,100,US,M
52,2023,SE,FT,Data Scientist,218500,USD,218500,US,100,US,M
53,2023,SE,FT,Data Scientist,199098,USD,199098,US,100,US,M
58,2023,EX,FT,Data Scientist,258750,USD,258750,US,0,US,M
59,2023,EX,FT,Data Scientist,185000,USD,185000,US,0,US,M
62,2023,SE,FT,Data Scientist,172500,USD,172500,US,100,US,M
63,2023,SE,FT,Data Scientist,110500,USD,110500,US,100,US,M
72,2023,SE,FT,Data Scientist,237000,USD,237000,US,100,US,M
73,2023,SE,FT,Data Scientist,201450,USD,201450,US,100,US,M
80,2023,MI,FT,Data Scientist,510000,HKD,65062,HK,0,HK,L
91,2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M
92,2023,SE,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M
93,2023,SE,FT,Data Scientist,105000,USD,105000,US,0,US,M
94,2023,SE,FT,Data Scientist,70000,USD,70000,US,0,US,M
115,2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M
116,2023,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M
139,2023,SE,FT,Data Scientist,138784,USD,138784,US,100,US,M
140,2023,SE,FT,Data Scientist,83270,USD,83270,US,100,US,M
149,2023,SE,FT,Data Scientist,195000,USD,195000,US,0,US,M
150,2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M
181,2023,MI,FT,Data Scientist,55000,GBP,66837,GB,0,GB,M
182,2023,MI,FT,Data Scientist,45000,GBP,54685,GB,0,GB,M
192,2023,SE,FT,Data Scientist,228000,USD,228000,US,0,US,M
193,2023,SE,FT,Data Scientist,186000,USD,186000,US,0,US,M
194,2023,SE,FT,Data Scientist,190000,USD,190000,US,0,US,M
195,2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M
213,2023,SE,FT,Data Scientist,224000,USD,224000,CA,0,CA,M
214,2023,SE,FT,Data Scientist,176000,USD,176000,CA,0,CA,M
232,2023,SE,FT,Data Scientist,250000,USD,250000,US,0,US,M
233,2023,SE,FT,Data Scientist,162500,USD,162500,US,0,US,M
239,2023,SE,FT,Data Scientist,203500,USD,203500,US,0,US,M
240,2023,SE,FT,Data Scientist,152000,USD,152000,US,0,US,M
241,2023,SE,FT,Data Scientist,239000,USD,239000,US,0,US,L
242,2023,SE,FT,Data Scientist,122900,USD,122900,US,0,US,L
243,2023,SE,FT,Data Scientist,237000,USD,237000,US,0,US,M
244,2023,SE,FT,Data Scientist,145000,USD,145000,US,0,US,M
249,2022,SE,FT,Data Scientist,84000,EUR,88256,ES,100,GB,L
260,2023,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M
261,2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M
264,2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M
265,2023,SE,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M
284,2023,SE,FT,Data Scientist,195000,USD,195000,US,0,US,M
285,2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M
288,2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M
289,2023,SE,FT,Data Scientist,135000,USD,135000,US,0,US,M
290,2023,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M
291,2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M
292,2023,SE,FT,Data Scientist,199000,USD,199000,US,0,US,M
293,2023,SE,FT,Data Scientist,162000,USD,162000,US,0,US,M
302,2023,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M
303,2023,SE,FT,Data Scientist,100000,USD,100000,US,100,US,M
306,2023,SE,FT,Data Scientist,245000,USD,245000,US,0,US,M
307,2023,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M
314,2023,SE,FT,Data Scientist,210000,USD,210000,US,0,US,M
315,2023,SE,FT,Data Scientist,155000,USD,155000,US,0,US,M
318,2023,SE,FT,Data Scientist,165000,USD,165000,US,0,US,M
319,2023,SE,FT,Data Scientist,140000,USD,140000,US,0,US,M
327,2023,EN,FT,Data Scientist,70000,CAD,51753,CA,100,CA,L
334,2023,EN,FT,Data Scientist,130001,USD,130001,US,100,US,M
335,2023,EN,FT,Data Scientist,71907,USD,71907,US,100,US,M
336,2023,MI,FT,Data Scientist,93918,USD,93918,US,100,US,M
337,2023,MI,FT,Data Scientist,51962,USD,51962,US,100,US,M
346,2023,SE,FT,Data Scientist,203000,USD,203000,US,100,US,M
347,2023,SE,FT,Data Scientist,133200,USD,133200,US,100,US,M
354,2023,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
355,2023,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
356,2023,SE,FT,Data Scientist,238000,USD,238000,US,100,US,M
357,2023,SE,FT,Data Scientist,156000,USD,156000,US,100,US,M
363,2023,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
364,2023,SE,FT,Data Scientist,110000,USD,110000,US,100,US,M
385,2023,SE,FT,Data Scientist,157750,USD,157750,US,100,US,M
386,2023,SE,FT,Data Scientist,104650,USD,104650,US,100,US,M
387,2023,MI,FT,Data Scientist,180000,USD,180000,US,100,US,M
388,2023,MI,FT,Data Scientist,140000,USD,140000,US,100,US,M
389,2023,EX,FT,Data Scientist,200000,USD,200000,US,0,US,M
390,2023,EX,FT,Data Scientist,145000,USD,145000,US,0,US,M
393,2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M
394,2023,SE,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M
409,2023,SE,FT,Data Scientist,252000,USD,252000,US,0,US,M
410,2023,SE,FT,Data Scientist,154000,USD,154000,US,0,US,M
413,2023,SE,FT,Data Scientist,191765,USD,191765,US,0,US,M
414,2023,SE,FT,Data Scientist,134236,USD,134236,US,0,US,M
415,2023,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M
416,2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M
417,2023,SE,FT,Data Scientist,237000,USD,237000,US,100,US,M
418,2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M
435,2023,SE,FT,Data Scientist,200000,USD,200000,US,100,US,M
436,2023,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
437,2023,SE,FT,Data Scientist,171250,USD,171250,IE,0,IE,M
438,2023,SE,FT,Data Scientist,113750,USD,113750,IE,0,IE,M
461,2023,SE,FT,Data Scientist,258000,USD,258000,CA,0,CA,M
462,2023,SE,FT,Data Scientist,190000,USD,190000,CA,0,CA,M
463,2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M
464,2023,SE,FT,Data Scientist,135000,USD,135000,US,0,US,M
467,2023,SE,FT,Data Scientist,195000,USD,195000,US,0,US,M
468,2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M
482,2023,SE,FT,Data Scientist,297300,USD,297300,US,100,US,M
483,2023,SE,FT,Data Scientist,198200,USD,198200,US,100,US,M
486,2023,SE,FT,Data Scientist,200000,USD,200000,US,100,US,M
